맵크기,커버리지,연산횟수,방향전환,소요시간
240,90.2,592,59,217
240,90.7,675,93,256
323,90.3,1012,131,381
255,90.4,689,79,256
228,90.2,735,87,274
225,90.6,734,85,273
238,90.4,802,86,296
255,90.4,611,64,225
255,90.3,868,74,314
170,90.1,559,62,207
204,90.9,692,70,254
285,90.1,941,106,349
240,90.8,729,87,272
304,90.6,1039,98,379
247,90.4,689,82,257
240,90.2,592,59,217
240,90.7,675,93,256
323,90.3,1012,131,381
255,90.4,689,79,256
228,90.2,735,87,274
225,90.6,734,85,273
238,90.4,802,86,296
255,90.4,611,64,225
255,90.3,868,74,314
170,90.1,559,62,207
204,90.9,692,70,254
285,90.1,941,106,349
240,90.8,729,87,272
304,90.6,1039,98,379
247,90.4,689,82,257
240,90.2,592,59,217
240,90.7,675,93,256
323,90.3,1012,131,381
255,90.4,689,79,256
228,90.2,735,87,274
225,90.6,734,85,273
238,90.4,802,86,296
255,90.4,611,64,225
255,90.3,868,74,314
170,90.1,559,62,207
204,90.9,692,70,254
285,90.1,941,106,349
240,90.8,729,87,272
304,90.6,1039,98,379
247,90.4,689,82,257
240,90.2,592,59,217
240,90.7,675,93,256
323,90.3,1012,131,381
255,90.4,689,79,256
228,90.2,735,87,274
225,90.6,734,85,273
238,90.4,802,86,296
255,90.4,611,64,225
255,90.3,868,74,314
170,90.1,559,62,207
204,90.9,692,70,254
285,90.1,941,106,349
240,90.8,729,87,272
304,90.6,1039,98,379
247,90.4,689,82,257
240,90.2,592,59,217
240,90.7,675,93,256
323,90.3,1012,131,381
255,90.4,689,79,256
228,90.2,735,87,274
225,90.6,734,85,273
238,90.4,802,86,296
255,90.4,611,64,225
255,90.3,868,74,314
170,90.1,559,62,207
204,90.9,692,70,254
285,90.1,941,106,349
240,90.8,729,87,272
304,90.6,1039,98,379
247,90.4,689,82,257
240,90.2,592,59,217
240,90.7,675,93,256
323,90.3,1012,131,381
255,90.4,689,79,256
228,90.2,735,87,274
225,90.6,734,85,273
238,90.4,802,86,296
255,90.4,611,64,225
255,90.3,868,74,314
170,90.1,559,62,207
204,90.9,692,70,254
285,90.1,941,106,349
240,90.8,729,87,272
304,90.6,1039,98,379
247,90.4,689,82,257
240,90.2,592,59,217
240,90.7,675,93,256
323,90.3,1012,131,381
255,90.4,689,79,256
228,90.2,735,87,274
225,90.6,734,85,273
238,90.4,802,86,296
255,90.4,611,64,225
255,90.3,868,74,314
170,90.1,559,62,207
204,90.9,692,70,254
285,90.1,941,106,349
240,90.8,729,87,272
304,90.6,1039,98,379
247,90.4,689,82,257
240,90.2,592,59,217
240,90.7,675,93,256
323,90.3,1012,131,381
255,90.4,689,79,256
228,90.2,735,87,274
225,90.6,734,85,273
238,90.4,802,86,296
255,90.4,611,64,225
255,90.3,868,74,314
170,90.1,559,62,207
204,90.9,692,70,254
285,90.1,941,106,349
240,90.8,729,87,272
304,90.6,1039,98,379
247,90.4,689,82,257
240,90.2,592,59,217
240,90.7,675,93,256
323,90.3,1012,131,381
255,90.4,689,79,256
228,90.2,735,87,274
225,90.6,734,85,273
238,90.4,802,86,296
255,90.4,611,64,225
255,90.3,868,74,314
170,90.1,559,62,207
204,90.9,692,70,254
285,90.1,941,106,349
240,90.8,729,87,272
304,90.6,1039,98,379
247,90.4,689,82,257
240,90.2,592,59,217
240,90.7,675,93,256
323,90.3,1012,131,381
255,90.4,689,79,256
228,90.2,735,87,274
225,90.6,734,85,273
238,90.4,802,86,296
255,90.4,611,64,225
255,90.3,868,74,314
170,90.1,559,62,207
204,90.9,692,70,254
285,90.1,941,106,349
240,90.8,729,87,272
304,90.6,1039,98,379
247,90.4,689,82,257
